Trace armed for next FOC start

FOC voltage set: Vd=0.000 V, Vq=0.050 V

FOC voltage start: ramp from 0 V, current limit 5.00 A
FOC stopped: encoder invalid, peak=0.352 A
ADC DMA logger stopped: overrun=0

FOC: off, target=0/0 mV, applied=0/0 mV, elec=78 mrad, rpm=-1
FOC current: id=77 iq=97 mA (ADC polarity), peak=352 mA; fault=encoder invalid
FOC timing: ticks=45, compute_max=15262 ns, bottom_max=23050 ns, angle_age_max=233693 ns

PWM stopped

TRACE count=256 clock=160000000
TRACE 0 1
TRACE 2921 8
TRACE 3713 7
TRACE 4401 2
TRACE 4480 3
TRACE 7017 4
TRACE 7094 5
TRACE 7984 1
TRACE 11431 2
TRACE 12004 7
TRACE 12131 6
TRACE 12208 3
TRACE 14745 4
TRACE 14822 5
TRACE 16012 1
TRACE 19470 2
TRACE 19730 9
TRACE 19839 6
TRACE 20206 3
TRACE 22759 4
TRACE 23980 1
TRACE 26922 8
TRACE 27714 7
TRACE 28399 2
TRACE 28478 3
TRACE 31015 4
TRACE 31092 5
TRACE 31978 1
TRACE 35425 2
TRACE 36000 7
TRACE 36127 6
TRACE 36202 3
TRACE 38739 4
TRACE 38816 5
TRACE 40005 1
TRACE 43463 2
TRACE 43723 9
TRACE 43832 6
TRACE 44200 3
TRACE 46753 4
TRACE 47974 1
TRACE 50916 8
TRACE 51708 7
TRACE 52393 2
TRACE 52472 3
TRACE 55009 4
TRACE 55086 5
TRACE 55972 1
TRACE 59419 2
TRACE 59994 7
TRACE 60121 6
TRACE 60196 3
TRACE 62733 4
TRACE 62810 5
TRACE 63999 1
TRACE 67457 2
TRACE 67717 9
TRACE 67826 6
TRACE 68194 3
TRACE 70747 4
TRACE 71968 1
TRACE 74910 8
TRACE 75702 7
TRACE 76387 2
TRACE 76466 3
TRACE 79003 4
TRACE 79080 5
TRACE 79966 1
TRACE 83413 2
TRACE 83988 7
TRACE 84115 6
TRACE 84190 3
TRACE 86727 4
TRACE 86804 5
TRACE 87993 1
TRACE 91451 2
TRACE 91711 9
TRACE 91820 6
TRACE 92189 3
TRACE 94742 4
TRACE 95962 1
TRACE 98904 8
TRACE 99696 7
TRACE 100381 2
TRACE 100460 3
TRACE 102997 4
TRACE 103074 5
TRACE 103960 1
TRACE 107407 2
TRACE 107982 7
TRACE 108109 6
TRACE 108184 3
TRACE 110721 4
TRACE 110798 5
TRACE 111987 1
TRACE 115445 2
TRACE 115705 9
TRACE 115814 6
TRACE 116183 3
TRACE 118736 4
TRACE 119956 1
TRACE 122889 8
TRACE 123681 7
TRACE 124366 2
TRACE 124445 3
TRACE 126973 4
TRACE 127050 5
TRACE 127954 1
TRACE 131392 2
TRACE 131949 7
TRACE 132076 6
TRACE 132178 3
TRACE 134706 4
TRACE 134783 5
TRACE 135978 1
TRACE 139427 2
TRACE 139681 9
TRACE 139790 6
TRACE 140176 3
TRACE 142720 4
TRACE 143950 1
TRACE 146892 8
TRACE 147684 7
TRACE 148369 2
TRACE 148448 3
TRACE 150985 4
TRACE 151062 5
TRACE 151948 1
TRACE 155395 2
TRACE 155970 7
TRACE 156097 6
TRACE 156172 3
TRACE 158709 4
TRACE 158786 5
TRACE 159975 1
TRACE 163433 2
TRACE 163693 9
TRACE 163802 6
TRACE 164170 3
TRACE 166723 4
TRACE 167944 1
TRACE 170886 8
TRACE 171678 7
TRACE 172363 2
TRACE 172442 3
TRACE 174979 4
TRACE 175056 5
TRACE 175942 1
TRACE 179389 2
TRACE 179964 7
TRACE 180091 6
TRACE 180166 3
TRACE 182703 4
TRACE 182780 5
TRACE 183969 1
TRACE 187427 2
TRACE 187687 9
TRACE 187796 6
TRACE 188164 3
TRACE 190717 4
TRACE 191938 1
TRACE 194880 8
TRACE 195672 7
TRACE 196357 2
TRACE 196436 3
TRACE 198973 4
TRACE 199050 5
TRACE 199936 1
TRACE 203383 2
TRACE 203958 7
TRACE 204085 6
TRACE 204160 3
TRACE 206697 4
TRACE 206774 5
TRACE 207963 1
TRACE 211421 2
TRACE 211681 9
TRACE 211790 6
TRACE 212158 3
TRACE 214711 4
TRACE 215932 1
TRACE 218865 8
TRACE 219657 7
TRACE 220342 2
TRACE 220421 3
TRACE 222949 4
TRACE 223026 5
TRACE 223930 1
TRACE 227368 2
TRACE 227925 7
TRACE 228052 6
TRACE 228154 3
TRACE 230682 4
TRACE 230759 5
TRACE 231954 1
TRACE 235403 2
TRACE 235657 9
TRACE 235766 6
TRACE 236152 3
TRACE 238696 4
TRACE 239926 1
TRACE 242868 8
TRACE 243660 7
TRACE 244345 2
TRACE 244424 3
TRACE 246961 4
TRACE 247038 5
TRACE 247924 1
TRACE 251371 2
TRACE 251946 7
TRACE 252073 6
TRACE 252148 3
TRACE 254685 4
TRACE 254762 5
TRACE 255951 1
TRACE 259409 2
TRACE 259669 9
TRACE 259778 6
TRACE 260146 3
TRACE 262699 4
TRACE 263924 1
TRACE 266880 8
TRACE 267672 7
TRACE 268357 2
TRACE 268436 3
TRACE 270961 4
TRACE 271038 5
TRACE 271918 1
TRACE 275365 2
TRACE 275945 7
TRACE 276072 6
TRACE 276142 3
TRACE 278667 4
TRACE 278759 5
TRACE 279948 1
TRACE 283406 2
TRACE 283666 9
TRACE 283775 6
TRACE 284141 3
TRACE 286678 4
TRACE 287918 1
TRACE 290870 8
TRACE 291662 7
TRACE 292347 2
TRACE 292426 3
TRACE 294963 4
TRACE 295040 5
TRACE 295912 1
TRACE 299359 2
TRACE 299954 7
TRACE 300081 6
TRACE 300141 3
TRACE 302678 4
TRACE 302787 5
TRACE 303939 1
TRACE 307397 2

AS5047P OK raw=1948, mech=42.803 deg, elec_uncal=299.619 deg, seq=7349, age=0 ms
Encoder DMA: source=main, transfers=8144, transfer=25.66/max 79.81 us, interval=2000.04/max 42023.21 us, launch_max=5.03 us
Encoder errors: spi=0, parity=0, sensor=0, timeout=1, busy_ticks=30, diag=0x0176, errfl=0x0000; displayed electrical angle is uncalibrated
Encoder first fault: TIM transfer timeout, state=3, elapsed=101493 ns, SR=0x00000002, RXleft=0, TXleft=0, DMA=0x00000000

