Trace armed for next FOC start

FOC voltage set: Vd=0.000 V, Vq=0.050 V

FOC voltage start: ramp from 0 V, current limit 5.00 A

FOC: running, target=0/50 mV, applied=0/50 mV, elec=97 mrad, rpm=-1
FOC current: id=67 iq=-324 mA (ADC polarity), peak=718 mA; fault=none
FOC timing: ticks=13769, compute_max=12781 ns, bottom_max=17850 ns, angle_age_max=87037 ns

PWM stopped
ADC logging disabled; current monitoring continues (queued data may follow)
FOC stopped: user stop, peak=0.835 A
ADC DMA logger stopped: overrun=0

TRACE count=256 clock=160000000
TRACE 0 1
TRACE 2274 8
TRACE 2840 7
TRACE 3231 2
TRACE 3462 5
TRACE 4213 3
TRACE 5906 4
TRACE 6330 7
TRACE 6441 6
TRACE 6952 5
TRACE 7907 9
TRACE 7975 1
TRACE 10798 2
TRACE 10928 6
TRACE 12197 3
TRACE 13884 4
TRACE 15971 1
TRACE 18272 8
TRACE 18838 7
TRACE 19229 2
TRACE 19461 5
TRACE 20207 3
TRACE 21900 4
TRACE 22336 7
TRACE 22447 6
TRACE 22958 5
TRACE 23913 9
TRACE 23973 1
TRACE 26796 2
TRACE 26949 6
TRACE 28193 3
TRACE 29880 4
TRACE 31967 1
TRACE 34268 8
TRACE 34834 7
TRACE 35225 2
TRACE 35457 5
TRACE 36203 3
TRACE 37896 4
TRACE 38332 7
TRACE 38443 6
TRACE 38954 5
TRACE 39909 9
TRACE 39969 1
TRACE 42792 2
TRACE 42945 6
TRACE 44189 3
TRACE 45876 4
TRACE 47963 1
TRACE 50264 8
TRACE 50830 7
TRACE 51221 2
TRACE 51453 5
TRACE 52199 3
TRACE 53892 4
TRACE 54328 7
TRACE 54439 6
TRACE 54950 5
TRACE 55905 9
TRACE 55965 1
TRACE 58788 2
TRACE 58941 6
TRACE 60185 3
TRACE 61872 4
TRACE 63959 1
TRACE 66260 8
TRACE 66826 7
TRACE 67217 2
TRACE 67449 5
TRACE 68195 3
TRACE 69888 4
TRACE 70324 7
TRACE 70435 6
TRACE 70946 5
TRACE 71901 9
TRACE 71961 1
TRACE 74784 2
TRACE 74937 6
TRACE 76181 3
TRACE 77868 4
TRACE 79955 1
TRACE 82256 8
TRACE 82822 7
TRACE 83213 2
TRACE 83445 5
TRACE 84191 3
TRACE 85884 4
TRACE 86320 7
TRACE 86431 6
TRACE 86942 5
TRACE 87897 9
TRACE 87957 1
TRACE 90780 2
TRACE 90933 6
TRACE 92177 3
TRACE 93864 4
TRACE 95951 1
TRACE 98252 8
TRACE 98818 7
TRACE 99209 2
TRACE 99441 5
TRACE 100187 3
TRACE 101880 4
TRACE 102316 7
TRACE 102427 6
TRACE 102938 5
TRACE 103893 9
TRACE 103953 1
TRACE 106776 2
TRACE 106929 6
TRACE 108173 3
TRACE 109860 4
TRACE 111947 1
TRACE 114248 8
TRACE 114814 7
TRACE 115205 2
TRACE 115437 5
TRACE 116183 3
TRACE 117876 4
TRACE 118312 7
TRACE 118423 6
TRACE 118934 5
TRACE 119889 9
TRACE 119949 1
TRACE 122772 2
TRACE 122925 6
TRACE 124169 3
TRACE 125856 4
TRACE 127943 1
TRACE 130244 8
TRACE 130810 7
TRACE 131201 2
TRACE 131433 5
TRACE 132179 3
TRACE 133872 4
TRACE 134308 7
TRACE 134419 6
TRACE 134930 5
TRACE 135885 9
TRACE 135945 1
TRACE 138768 2
TRACE 138921 6
TRACE 140165 3
TRACE 141852 4
TRACE 143939 1
TRACE 146240 8
TRACE 146806 7
TRACE 147197 2
TRACE 147428 5
TRACE 148175 3
TRACE 149868 4
TRACE 150292 7
TRACE 150403 6
TRACE 150914 5
TRACE 151869 9
TRACE 151937 1
TRACE 154760 2
TRACE 154890 6
TRACE 156161 3
TRACE 157848 4
TRACE 159935 1
TRACE 162236 8
TRACE 162802 7
TRACE 163193 2
TRACE 163424 5
TRACE 164171 3
TRACE 165864 4
TRACE 166288 7
TRACE 166399 6
TRACE 166910 5
TRACE 167865 9
TRACE 167933 1
TRACE 170756 2
TRACE 170886 6
TRACE 172157 3
TRACE 173844 4
TRACE 175931 1
TRACE 178232 8
TRACE 178798 7
TRACE 179189 2
TRACE 179420 5
TRACE 180167 3
TRACE 181860 4
TRACE 182284 7
TRACE 182395 6
TRACE 182906 5
TRACE 183861 9
TRACE 183929 1
TRACE 186743 2
TRACE 186873 6
TRACE 188153 3
TRACE 189831 4
TRACE 191927 1
TRACE 194219 8
TRACE 194785 7
TRACE 195176 2
TRACE 195407 5
TRACE 196166 3
TRACE 197850 4
TRACE 198266 7
TRACE 198377 6
TRACE 198888 5
TRACE 199846 9
TRACE 199925 1
TRACE 202748 2
TRACE 202874 6
TRACE 204149 3
TRACE 205836 4
TRACE 207923 1
TRACE 210224 8
TRACE 210790 7
TRACE 211181 2
TRACE 211412 5
TRACE 212159 3
TRACE 213852 4
TRACE 214276 7
TRACE 214387 6
TRACE 214898 5
TRACE 215853 9
TRACE 215921 1
TRACE 218744 2
TRACE 218874 6
TRACE 220145 3
TRACE 221832 4
TRACE 223919 1
TRACE 226220 8
TRACE 226786 7
TRACE 227177 2
TRACE 227409 5
TRACE 228155 3
TRACE 229848 4
TRACE 230284 7
TRACE 230395 6
TRACE 230906 5
TRACE 231861 9
TRACE 231921 1
TRACE 234744 2
TRACE 234897 6
TRACE 236141 3
TRACE 237828 4
TRACE 239915 1
TRACE 242216 8
TRACE 242782 7
TRACE 243173 2
TRACE 243405 5
TRACE 244151 3
TRACE 245844 4
TRACE 246280 7
TRACE 246391 6
TRACE 246902 5
TRACE 247857 9
TRACE 247917 1
TRACE 250740 2
TRACE 250893 6
TRACE 252137 3
TRACE 253824 4

AS5047P OK raw=1951, mech=42.869 deg, elec_uncal=300.081 deg, seq=35169, age=0 ms
Encoder DMA: source=main, transfers=36225, transfer=21.24/max 33.28 us, interval=2000.06/max 41017.11 us, launch_max=3.56 us
Encoder errors: spi=0, parity=0, sensor=0, timeout=0, busy_ticks=16, diag=0x0176, errfl=0x0000; displayed electrical angle is uncalibrated
Encoder first fault: none, state=0, elapsed=0 ns, SR=0x00000000, RXleft=0, TXleft=0, DMA=0x00000000

