Trace armed for next FOC start

FOC voltage set: Vd=0.000 V, Vq=0.050 V

FOC voltage start: ramp from 0 V, current limit 5.00 A
FOC stopped: encoder invalid, peak=0.385 A
ADC DMA logger stopped: overrun=0

FOC: off, target=0/0 mV, applied=0/0 mV, elec=78 mrad, rpm=1
FOC current: id=35 iq=47 mA (ADC polarity), peak=385 mA; fault=encoder invalid
FOC timing: ticks=5, compute_max=15262 ns, bottom_max=22818 ns, angle_age_max=200468 ns

PWM stopped

TRACE count=256 clock=160000000
TRACE 0 1
TRACE 406 8
TRACE 1190 7
TRACE 4372 2
TRACE 4449 3
TRACE 6986 4
TRACE 7063 5
TRACE 7983 1
TRACE 11429 2
TRACE 11955 7
TRACE 12090 6
TRACE 12208 3
TRACE 14761 4
TRACE 14838 5
TRACE 16008 1
TRACE 19462 2
TRACE 19731 9
TRACE 19840 6
TRACE 20203 3
TRACE 22756 4
TRACE 23977 1
TRACE 24379 8
TRACE 25158 7
TRACE 28372 2
TRACE 28449 3
TRACE 30986 4
TRACE 31063 5
TRACE 31977 1
TRACE 35420 2
TRACE 35968 7
TRACE 36095 6
TRACE 36199 3
TRACE 38752 4
TRACE 38829 5
TRACE 39999 1
TRACE 41909 2
TRACE 42169 9
TRACE 42283 6
TRACE 257153 8
TRACE 257895 7
TRACE 258582 5
TRACE 259908 7
TRACE 260032 6
TRACE 260541 5
TRACE 261829 6
TRACE 591793 8
TRACE 592577 7
TRACE 593236 5
TRACE 594562 7
TRACE 594686 6
TRACE 595196 5
TRACE 596532 9
TRACE 596648 6
TRACE 896546 8
TRACE 897330 7
TRACE 897992 5
TRACE 899318 7
TRACE 899442 6
TRACE 899951 5
TRACE 901287 9
TRACE 901403 6
TRACE 1216538 8
TRACE 1217322 7
TRACE 1217984 5
TRACE 1219310 7
TRACE 1219434 6
TRACE 1219943 5
TRACE 1221279 9
TRACE 1221395 6
TRACE 1536533 8
TRACE 1537317 7
TRACE 1537979 5
TRACE 1539305 7
TRACE 1539429 6
TRACE 1539938 5
TRACE 1541274 9
TRACE 1541390 6
TRACE 1856557 8
TRACE 1857341 7
TRACE 1858003 5
TRACE 1859329 7
TRACE 1859453 6
TRACE 1859961 5
TRACE 1861297 9
TRACE 1861413 6
TRACE 2180192 8
TRACE 2180976 7
TRACE 2181638 5
TRACE 2182964 7
TRACE 2183088 6
TRACE 2183597 5
