Trace armed for next FOC start

FOC voltage set: Vd=0.000 V, Vq=0.050 V

FOC voltage start: ramp from 0 V, current limit 5.00 A

FOC: running, target=0/50 mV, applied=0/50 mV, elec=105 mrad, rpm=0
FOC current: id=-33 iq=-92 mA (ADC polarity), peak=677 mA; fault=none
FOC timing: ticks=13566, compute_max=12743 ns, bottom_max=18068 ns, angle_age_max=103900 ns

PWM stopped
ADC logging disabled; current monitoring continues (queued data may follow)
FOC stopped: user stop, peak=0.678 A
ADC DMA logger stopped: overrun=0

TRACE count=256 clock=160000000
TRACE 0 1
TRACE 314 8
TRACE 866 7
TRACE 3221 2
TRACE 3289 5
TRACE 4211 3
TRACE 5884 4
TRACE 5973 7
TRACE 6088 6
TRACE 6596 5
TRACE 7573 9
TRACE 7668 6
TRACE 7973 1
TRACE 8275 8
TRACE 8827 7
TRACE 11361 2
TRACE 11429 5
TRACE 12209 3
TRACE 13882 4
TRACE 14278 7
TRACE 14393 6
TRACE 14901 5
TRACE 15864 9
TRACE 15971 1
TRACE 16273 8
TRACE 16831 7
TRACE 19365 2
TRACE 19443 6
TRACE 19504 5
TRACE 20207 3
TRACE 21880 4
TRACE 22323 7
TRACE 22434 6
TRACE 22946 5
TRACE 23901 9
TRACE 23969 1
TRACE 26792 2
TRACE 26922 6
TRACE 28193 3
TRACE 29880 4
TRACE 31967 1
TRACE 32269 8
TRACE 32821 7
TRACE 35211 2
TRACE 35279 5
TRACE 36203 3
TRACE 37876 4
TRACE 37971 7
TRACE 38086 6
TRACE 38594 5
TRACE 39571 9
TRACE 39666 6
TRACE 39965 1
TRACE 40267 8
TRACE 40819 7
TRACE 43353 2
TRACE 43421 5
TRACE 44201 3
TRACE 45874 4
TRACE 46270 7
TRACE 46385 6
TRACE 46893 5
TRACE 47856 9
TRACE 47963 1
TRACE 48265 8
TRACE 48823 7
TRACE 51357 2
TRACE 51435 6
TRACE 51496 5
TRACE 52199 3
TRACE 53872 4
TRACE 54315 7
TRACE 54426 6
TRACE 54939 5
TRACE 55894 9
TRACE 55962 1
TRACE 58785 2
TRACE 58915 6
TRACE 60185 3
TRACE 61872 4
TRACE 63959 1
TRACE 64261 8
TRACE 64813 7
TRACE 67203 2
TRACE 67271 5
TRACE 68195 3
TRACE 69868 4
TRACE 69963 7
TRACE 70078 6
TRACE 70586 5
TRACE 71563 9
TRACE 71658 6
TRACE 71957 1
TRACE 72259 8
TRACE 72811 7
TRACE 75336 2
TRACE 75404 5
TRACE 76193 3
TRACE 77857 4
TRACE 78244 7
TRACE 78359 6
TRACE 78867 5
TRACE 79833 9
TRACE 79955 1
TRACE 80257 8
TRACE 80815 7
TRACE 83340 2
TRACE 83410 6
TRACE 83471 5
TRACE 84191 3
TRACE 85855 4
TRACE 86299 7
TRACE 86410 6
TRACE 86923 5
TRACE 87878 9
TRACE 87953 1
TRACE 90767 2
TRACE 90897 6
TRACE 92177 3
TRACE 93855 4
TRACE 95951 1
TRACE 96253 8
TRACE 96805 7
TRACE 99186 2
TRACE 99254 5
TRACE 100187 3
TRACE 101851 4
TRACE 101940 7
TRACE 102055 6
TRACE 102563 5
TRACE 103540 9
TRACE 103635 6
TRACE 103949 1
